Sample number;Sampling year;Rock description;Link to report;Collector;Batch;Longitude;Latitude;Laboratory;Treatment year;Sample preparation abbr;Analytical method abbr;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3 wt%;Fe2O3 wt%.1;FeO wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;C wt%;Li ppm;Be ppm;B ppm;S ppm;Cl wt%;Sc ppm;V ppm;Cr ppm;Co ppm;Ni ppm;Cu ppm;Zn ppm;Ga ppm;Ge ppm;As ppm;Se ppm;Br ppm;Rb ppm;Sr ppm;Y ppm;Zr ppm;Nb ppm;Mo ppm;Ru ppb;Rh ppb;Pd ppb;Ag ppm;Cd ppm;In ppm;Sn ppm;Sb ppm;Te ppm;I ppm;Cs ppm;Ba ppm;La ppm;Ce ppm;Pr ppm;Nd ppm;Sm ppm;Eu ppm;Gd ppm;Tb ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Yb ppm;Lu ppm;Hf ppm;Ta ppm;W ppm;Re ppb;Os ppb;Ir ppb;Pt ppb;Au ppb;Hg ppm;Tl ppm;Pb ppm;Bi ppm;Th ppm;U ppm
360830;1991.0;high-grade metamorphic felsic siliceous coarse-grained rock;Link;Nielsen, Jens Peter;4;-51.872329;68.03338;Activation Laboratories Ltd.;1991.0;NON;INAA;;;;-0.045757490560675115;;;;;;;;;;;;;;;-1.0;;1.0791812460476249;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6020599913279624;0.9542425094393249;;;-0.1549019599857432;-0.6989700043360187;;;;;;;-0.09691001300805639;-1.0;;;;;;;;;;;;;;0.2787536009528289
407016;1993.0;high-grade metamorphic medium-grained felsic magmatic plutonic rock gneiss;Link;Steenfelt, Agnete;4;-52.527832;65.284738;Activation Laboratories Ltd.;1993.0;NON;INAA;1.840168849240756;-0.431798275933005;1.1872386198314788;0.4727564493172124;0.08635983067474821;0.2787536009528289;-1.3010299956639813;0.06445798922691845;0.48000694295715063;0.6812412373755872;0.14921911265537988;-0.8239087409443188;;;;;;;1.0;1.7885218872224729;1.1760912590556813;1.6989700043360187;;0.8450980400142568;1.6599162000698502;1.414973347970818;;;;;1.7993405494535817;2.6150553041797213;0.9030899869919435;2.2528530309798933;0.7781512503836436;;;;;;;;;;;;0.6020599913279624;2.537819095073274;1.4471580313422192;1.6720978579357175;;1.2041199826559248;0.3979400086720376;-0.045757490560675115;;;;;;;-0.09691001300805639;-1.0;;;2.591064607026499;;;;;1.146128035678238;;;1.0791812460476249;;0.9637878273455552;
405118;1993.0;high-grade metamorphic fine-grained felsic siliceous rock;Link;Thomassen, Bjørn;42;-44.928635;60.891148;Activation Laboratories Ltd.;1993.0;4AC;ICP;;-1.0;0.47712125471966244;0.11058971029924898;;;-1.6989700043360187;-0.3187587626244128;-0.08092190762392612;-0.2596373105057561;-0.1804560644581313;-1.3979400086720375;;;;;;;0.3010299956639812;1.146128035678238;1.0791812460476249;0.3010299956639812;1.0791812460476249;1.4471580313422192;1.2787536009528289;;;-0.1549019599857432;;-0.09691001300805639;;1.8864907251724818;0.3010299956639812;;;0.47712125471966244;;;;;;;;-0.5228787452803376;;;;2.591064607026499;0.724275869600789;1.0413926851582251;;;-0.09691001300805639;;;;;;;;-0.5228787452803376;-1.0;;;0.0;;;;;;;;0.7781512503836436;;0.04139268515822508;-0.1549019599857432
431624;1995.0;high-grade metamorphic fine-grained mafic magmatic extrusive rock;Link;Manatschal, Gianreto;7;-50.2819;67.876047;GEUS Rock Geochemical lab;1996.0;NAF;AAS;1.6780629049743452;-0.27572413039921095;0.785329835010767;;0.004321373782642578;1.0576661039098292;-0.769551078621726;1.0013009330204181;1.3038437748886544;0.11058971029924898;-0.744727494896694;-1.3979400086720375;;;;;;;;2.325515663363148;3.2397748151665193;;3.00821680158969;1.0791812460476249;1.965201701025912;;;;;;1.541579243946581;2.042181594515766;;1.9493900066449128;;;;;;;;;;;;;;1.5797835966168101;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353215;1987.0;;Link;Appel, Peter;7;-49.984938;64.728309;GEUS Rock Geochemical lab;;NAF;AAS;1.6885088076565213;0.2528530309798932;1.3051363189436394;;0.2304489213782739;0.9469432706978255;-0.769551078621726;0.4885507165004443;0.9547247909790629;0.5820633629117087;-0.21467016498923297;-1.154901959985743;;;;;;;;2.6232492903979003;2.2068258760318495;;1.7634279935629373;;1.9493900066449128;;;;;;1.5185139398778875;2.437750562820388;;;;;;;;;;;;;;;;2.1958996524092336;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283340;1985.0;;Link;Garde, Adam A.;10;-50.897381;64.698292;Activation Laboratories Ltd.;1991.0;NON;INAA;1.818093869146636;-0.1366771398795441;1.1914510144648955;0.6434526764861874;0.24797326636180664;0.35602585719312274;-1.0457574905606752;0.06445798922691845;0.43216726944258826;0.6608654780038692;0.5538830266438743;-0.619788758288394;;;;;;;1.0;;;1.1139433523068367;;;1.9395192526186185;;;;;;1.99563519459755;;;;;;;;;;;;;;;;;2.99563519459755;1.954242509439325;2.146128035678238;;1.7781512503836436;0.9030899869919435;0.2304489213782739;;0.04139268515822508;;;;;0.5314789170422551;-0.2218487496163564;1.0;;1.8692317197309762;;;;;1.0413926851582251;;;;;0.6532125137753437;
304212;1982.0;;Link;Nyegaard, Per;22;-45.44079;60.75773;Risø National Laboratory;1999.0;NON;XCD;;-0.6989700043360187;;0.3159703454569177;;;-1.5228787452803376;;-0.004364805402450088;;-0.08092190762392612;;;;;;;;;;;;;;1.0;1.5314789170422551;;;;;;1.8808135922807914;2.4727564493172123;2.6483600109809315;2.439332693830263;1.863322860120456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.82865989653532;;;
304218;1982.0;;Link;Nyegaard, Per;22;-45.34402;60.78068;Risø National Laboratory;1999.0;NON;XCD;;-0.42021640338318983;;0.670245853074124;;;-1.3979400086720375;;0.10037054511756291;;-0.1938200260161128;;;;;;;;;;;;1.2304489213782739;2.6444385894678386;0.9542425094393249;0.6989700043360189;;;;;;2.424881636631067;1.6532125137753437;2.1335389083702174;1.6020599913279623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5797835966168101;;;
248332;1979.0;;Link;Tukiainen, Tapani;22;-48.03557;61.22166;Risø National Laboratory;1999.0;NON;XCD;;-0.6989700043360187;;1.0136796972911926;;;-0.5376020021010439;;0.9666109866819343;;0.43456890403419873;;;;;;;;;;1.806179973983887;;1.7160033436347992;2.5550944485783194;2.629409599102719;2.298853076409707;;;;;2.7218106152125467;3.5986810989071634;2.6085260335771943;3.5303277897780863;4.677369668235016;2.635483746814912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9344984512435677;;1.9106244048892012;3.095169351431755
353451;1989.0;Skarn;Link;Appel, Peter;59;-49.859055;64.742107;Copenhagen University Geology;1992.0;PWD;XRF;1.6503075231319364;0.32633586092875144;0.7902851640332417;1.089905111439398;0.41830129131974547;0.9153998352122699;-0.5228787452803376;0.7193312869837266;1.4405942618398309;-0.6382721639824072;-0.619788758288394;-0.8239087409443188;;;;;;;1.414973347970818;2.322219294733919;3.083323418473525;2.1760912590556813;3.179838928023187;;2.2821687783046416;;;0.6020599913279624;;0.6020599913279624;1.5440680443502757;2.089905111439398;;2.1522883443830563;;;;;;;;;;;;;0.0;3.130976691605617;1.505149978319906;1.8512583487190752;;;0.8808135922807914;;;0.0;;;;;;;0.47712125471966244;0.47712125471966244;0.8450980400142568;;;;;;;;;;0.4471580313422192;0.0
