Details;Sampleno;Sampling year;Grain size micron;Longitude;Latitude;Elevation;Coordinate method;Collector;Treatmentyears;Laboratorynames;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3t wt%;Fe2O3 wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;Sum wt%;L.o.i. wt%;FeO wt%;Ag ppm;Al %;As ppm;Ba ppm;Be ppm;Bi ppm;Ca %;Cd ppm;Co ppm;Cr ppm;Cu ppm;Fe %;Hf ppm;K %;Li ppm;Mg %;Mn ppm;Mo ppm;Na %;Nb ppm;Ni ppm;P %;Pb ppm;Rb ppm;S %;Sb ppm;Sn ppm;Sr ppm;Ta ppm;Th ppm;Ti %;U ppb;V ppm;W ppm;Zn ppm;Zr ppm;Sc ppm;Y ppm;La ppm;Ce ppm;Au ppb;Br ppm;Cs ppm;Hg ppm;Ir ppb;Se ppm;U ppm;Nd ppm;Sm ppm;Eu ppm;Tb ppm;Yb ppm;Lu ppm;Pd ppb;Pt ppb;Ga ppm;Ge ppm;In ppm;Tl ppm;Pr ppm;Gd ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Mn %;S ppm;Au ppm;Ir ppm;Sn %;Sr %;B ppm;Pd ppm;Pt ppm;Re ppm;Te ppm;Si %;Fe ppm;Cl %;geo_magnetic_anomaly nT;geo_heat_flow mW/m2;geo_depth_to_moho km
Link;100237;1971;0-150;-24.05035;72.16004;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.7752462597402364;;;;1.146128035678238;0.43456890403419873;;0.414973347970818;;;2.4871383754771865;;;;0.47712125471966244;;1.568201724066995;;;;;;;;-0.3467874862246563;;1.8129133566428555;;1.7558748556724915;;;;;;;;;;;;0.7781512503836436;;;;;;;;;0.6989700043360189;;;;;;;;;;;;;;;;;;;;;;;;-226.82164001464844;46.35755;22.4
Link;100238;1971;0-150;-24.05761;72.16066;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.8267225201689921;;;;1.146128035678238;0.43136376415898736;;0.5024271199844327;;;2.5599066250361124;;;;1.3222192947339193;;1.5797835966168101;;;;;;;;-0.27572413039921095;;1.8512583487190752;;1.7403626894942439;;;;;;;;;;;;0.8129133566428556;;;;;;;;;0.8450980400142568;;;;;;;;;;;;;;;;;;;;;;;;-226.82164001464844;46.35755;22.6
Link;100239;1971;0-150;-24.06477;72.16388;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.696356388733332;;;;1.3424226808222062;0.456366033129043;;0.4132997640812518;;;2.5599066250361124;;;;0.6989700043360189;;1.5563025007672873;;;;;;;;-0.3279021420642826;;1.0791812460476249;;1.7558748556724915;;;;;;;;;;;;0.9731278535996987;;;;;;;;;0.9030899869919435;;;;;;;;;;;;;;;;;;;;;;;;-224.27882385253906;46.35755;22.6
Link;100240;1971;0-150;-24.07289;72.16643;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.631443769013172;;;;0.9542425094393249;0.4487063199050799;;0.4668676203541095;;;2.5415792439465807;;;;;;1.5314789170422551;;;;;;;;-0.36653154442041347;;;;1.7323937598229686;;;;;;;;;;;;0.6232492903979004;;;;;;;;;0.6020599913279624;;;;;;;;;;;;;;;;;;;;;;;;-221.65554809570312;46.35755;22.6
Link;100241;1971;0-150;-24.0796;72.16852;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.6655809910179531;;;;1.0;0.4424797690644486;;0.4623979978989561;;;2.459392487759231;;;;;;1.505149978319906;;;;;;;;-0.42021640338318983;;1.1760912590556813;;1.6989700043360187;;;;;;;;;;;;0.414973347970818;;;;;;;;;0.6020599913279624;;;;;;;;;;;;;;;;;;;;;;;;-219.89891052246094;46.35755;22.6
Link;100243;1971;0-150;-24.0946;72.18048;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.8674674878590515;;;;0.8450980400142568;0.4440447959180762;;0.4668676203541095;;;2.5211380837040362;;;;;;1.4771212547196624;;;;;;;;-0.46852108295774486;;;;1.7634279935629373;;;;;;;;;;;;0.6127838567197355;;;;;;;;;0.3010299956639812;;;;;;;;;;;;;;;;;;;;;;;;-214.98471069335938;46.35755;22.6
Link;100244;1971;0-150;-24.09481;72.17381;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;0.5132176000679389;;;;0.8450980400142568;0.44560420327359757;;0.4132997640812518;;;2.569373909615046;;;;;;1.5185139398778875;;;;;;;;-0.25181197299379954;;;;1.7481880270062005;;;;;;;;;;;;0.4623979978989561;;;;;;;;;0.6020599913279624;;;;;;;;;;;;;;;;;;;;;;;;-217.50296020507812;46.35755;22.6
Link;100245;1971;0-150;-24.15329;72.14509;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.05060999335508721;;;;0.8450980400142568;0.541579243946581;;0.5224442335063199;;;2.6646419755561257;;;;;;1.5797835966168101;;;;;;;;-0.2218487496163564;;1.505149978319906;;1.8692317197309762;;;;;;;;;;;;0.5185139398778874;;;;;;;;;1.0413926851582251;;;;;;;;;;;;;;;;;;;;;;;;-221.48992919921875;46.35755;22.9
Link;100246;1971;0-150;-24.15143;72.14538;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.10237290870955855;;;;1.2304489213782739;0.5932860670204573;;0.48572142648158;;;2.7067177823367587;;;;;;1.6532125137753437;;;;;;;;-0.27572413039921095;;1.568201724066995;;1.8573324964312685;;;;;;;;;;;;0.6334684555795865;;;;;;;;;1.0413926851582251;;;;;;;;;;;;;;;;;;;;;;;;-221.48992919921875;46.35755;22.9
Link;100247;1971;0-150;-24.14931;72.14905;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.08092190762392612;;;;1.2041199826559248;0.4409090820652177;;0.5403294747908738;;;2.640481436970422;;;;;;1.5185139398778875;;;;;;;;-0.3010299956639812;;1.0791812460476249;;1.7481880270062005;;;;;;;;;;;;0.5563025007672873;;;;;;;;;1.146128035678238;;;;;;;;;;;;;;;;;;;;;;;;-219.4459228515625;46.35755;22.9
Link;100248;1971;0-150;-24.15151;72.15077;;Map;Nielsen, Bjarne Leth;1991;Risø National Laboratory;;;;;;;;;;;;;;;;;;;;;-0.11918640771920865;;;;1.1139433523068367;0.3996737214810381;;0.5237464668115644;;;2.595496221825574;;;;;;1.505149978319906;;;;;;;;-0.42021640338318983;;0.7781512503836436;;1.7160033436347992;;;;;;;;;;;;0.4471580313422192;;;;;;;;;0.6020599913279624;;;;;;;;;;;;;;;;;;;;;;;;-214.3234405517578;46.35755;22.9
