Sample number;Sampling year;Rock description;Link to report;Collector;Batch;Longitude;Latitude;Laboratory;Treatment year;Sample preparation abbr;Analytical method abbr;SiO2 wt%;TiO2 wt%;Al2O3 wt%;Fe2O3 wt%;Fe2O3 wt%;FeO wt%;MnO wt%;MgO wt%;CaO wt%;Na2O wt%;K2O wt%;P2O5 wt%;C wt%;Li ppm;Be ppm;B ppm;S ppm;Cl wt%;Sc ppm;V ppm;Cr ppm;Co ppm;Ni ppm;Cu ppm;Zn ppm;Ga ppm;Ge ppm;As ppm;Se ppm;Br ppm;Rb ppm;Sr ppm;Y ppm;Zr ppm;Nb ppm;Mo ppm;Ru ppb;Rh ppb;Pd ppb;Ag ppm;Cd ppm;In ppm;Sn ppm;Sb ppm;Te ppm;I ppm;Cs ppm;Ba ppm;La ppm;Ce ppm;Pr ppm;Nd ppm;Sm ppm;Eu ppm;Gd ppm;Tb ppm;Dy ppm;Ho ppm;Er ppm;Tm ppm;Yb ppm;Lu ppm;Hf ppm;Ta ppm;W ppm;Re ppb;Os ppb;Ir ppb;Pt ppb;Au ppb;Hg ppm;Tl ppm;Pb ppm;Bi ppm;Th ppm;U ppm
293575;1982;;Link;Appel, Peter;65;-51.652089;63.782612;Risø National Laboratory;1991;NON;XPU;;0.18;;7.15;;;0.04;;0;;0;;;;;;;;;0;0;;0;0;157;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
293575;1982;;Link;Appel, Peter;7;-51.652089;63.782612;GEUS Rock Geochemical lab;;NAF;AAS;;;;;;;;;;0.15;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293575;1982;;Link;Appel, Peter;7;-51.652089;63.782612;GEUS Rock Geochemical lab;;NAF;TIT;;;;;;5.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293575;1982;;Link;Appel, Peter;7;-51.652089;63.782612;GEUS Rock Geochemical lab;;NAF;XRF;78.25;0.15;1.21;;0.45;;0.03;11.01;0.1;;0.01;0.01;;;;;;;;-1;-1;;-1;;-1;;;;;;-1;-1;;-1;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293575;1982;;Link;Appel, Peter;7;-51.652089;63.782612;GEUS Rock Geochemical lab;;NON;IGN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341445;1987;;Link;Knudsen, Christian;55;-50.10885;69.733034;Bondar-Clegg and Co. Ltd.;1991;NON;INAA;;;;9.01;;;;;;0.8;;;;;;;;;7.3;;0;73;0;;300;;;359;0;0;75;;;0;;2;;;;23;0;;0;1.4;0;;0;210;46;68;;;9.2;0;;2;;;;;0;0.5;3;0;70;;;0;;3440;;;;;3.2;0.6
287207;1979;;Link;Tukiainen, Tapani;22;-44.77951;60.44864;Risø National Laboratory;1999;NON;XCD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;507;244;80;289;44;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287207;1979;;Link;Tukiainen, Tapani;21;-44.77951;60.44864;Risø National Laboratory;1999;NON;DNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.5
287207;1979;;Link;Tukiainen, Tapani;20;-44.77951;60.44864;Risø National Laboratory;1999;NON;GAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.9;248
287207;1979;;Link;Tukiainen, Tapani;18;-44.77951;60.44864;Risø National Laboratory;1999;NON;XPU;;0.33;;2;;;0.05;;2.07;;8.3;;;;;;;;;0;0;;31;21;75;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;;;
